City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Mahebourg,MU,-20.4081,57.7,78.8,89,40,10.36,light rain
81,Hithadhoo,MV,-0.6,73.0833,84.15,74,28,17.38,scattered clouds
82,North Bend,US,43.4065,-124.2243,48.2,87,1,13.8,clear sky
83,Odweyne,SO,9.4092,45.064,68.34,47,7,2.26,clear sky
84,Cape Town,ZA,-33.9258,18.4232,60.01,87,0,3.44,clear sky
85,Namibe,AO,-15.1961,12.1522,76.71,80,66,7.0,broken clouds
86,San Policarpo,PH,12.1791,125.5072,83.64,67,16,7.38,few clouds
87,Jalu,LY,29.0331,21.5482,59.47,34,0,8.34,clear sky
88,Cockburn Town,TC,21.4612,-71.1419,77.34,77,51,9.4,broken clouds
89,Magadan,RU,59.5667,150.8,25.72,54,54,5.88,broken clouds
90,Chuy,UY,-33.6971,-53.4616,61.92,86,5,5.35,clear sky
91,Inta,RU,66.0317,60.1659,23.52,93,92,11.68,overcast clouds
92,Dingle,PH,10.9995,122.6711,86.09,63,81,12.01,broken clouds
93,Palmer,US,42.1584,-72.3287,30.99,64,90,3.24,overcast clouds
94,Clyde River,CA,70.4692,-68.5914,-16.6,69,20,6.91,few clouds
95,Quesnel,CA,52.9999,-122.5029,37.4,60,1,2.51,clear sky
96,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.82,88,1,9.06,clear sky
97,Hermanus,ZA,-34.4187,19.2345,60.01,76,93,1.99,overcast clouds
98,Praya,CV,14.9215,-23.5087,77.0,31,0,21.85,clear sky
99,Muros,ES,42.7762,-9.0603,54.0,91,41,4.0,scattered clouds
100,Ankazoabo,MG,-22.2833,44.5167,68.29,76,0,2.15,clear sky
101,Castro,BR,-24.7911,-50.0119,53.42,96,1,4.32,clear sky
102,Barrow,US,71.2906,-156.7887,-13.0,70,1,4.61,clear sky
103,Upernavik,GL,72.7868,-56.1549,-17.99,99,99,5.86,overcast clouds
104,Marilia,BR,-22.2139,-49.9458,58.46,81,4,4.92,clear sky
105,Rome,US,34.257,-85.1647,39.2,60,1,2.8,clear sky
106,Qaanaaq,GL,77.484,-69.3632,-17.61,90,100,11.63,overcast clouds
107,Lavrentiya,RU,65.5833,-171.0,6.85,82,99,11.45,overcast clouds
108,Sur,OM,22.5667,59.5289,88.66,30,6,3.0,clear sky
109,Majengo,TZ,-5.15,38.9833,74.79,81,69,8.19,broken clouds
110,Laguna,US,38.421,-121.4238,66.2,48,1,6.91,clear sky
111,Tigil,RU,57.8,158.6667,27.72,79,8,14.23,clear sky
112,Spearfish,US,44.4908,-103.8594,57.99,36,1,5.75,clear sky
113,Carberry,CA,49.8689,-99.3602,33.8,55,20,10.36,few clouds
114,Atuona,PF,-9.8,-139.0333,80.65,80,48,15.37,light rain
115,Nhulunbuy,AU,-12.2333,136.7667,86.0,70,75,17.27,broken clouds
116,Barkhan,PK,29.8977,69.5256,77.77,13,2,7.78,clear sky
117,Ranong,TH,9.9658,98.6348,87.8,70,40,6.91,scattered clouds
118,Yar-Sale,RU,66.8333,70.8333,28.72,97,100,7.2,overcast clouds
119,Kargasok,RU,59.0556,80.8572,34.07,94,100,12.46,overcast clouds
120,Makakilo City,US,21.3469,-158.0858,80.6,54,40,17.27,scattered clouds
121,Saint-Philippe,RE,-21.3585,55.7679,77.0,88,75,10.36,light rain
122,Samana,DO,19.2056,-69.3369,71.49,88,0,5.06,clear sky
123,Isangel,VU,-19.55,169.2667,82.4,89,90,5.86,overcast clouds
124,Bethel,US,41.3712,-73.414,32.0,47,49,5.5,scattered clouds
125,Loanda,AO,-8.8368,13.2343,80.6,89,75,4.61,broken clouds
126,Saint George,US,37.1041,-113.5841,75.2,15,1,6.91,clear sky
127,Bambous Virieux,MU,-20.3428,57.7575,82.99,89,40,10.36,light rain
128,Sola,VU,-13.8833,167.55,87.8,74,90,4.61,overcast clouds
129,Pozo Colorado,PY,-23.4923,-58.7972,67.95,59,77,5.32,broken clouds
130,Alofi,NU,-19.0595,-169.9187,84.2,74,92,11.5,overcast clouds
131,Avarua,CK,-21.2078,-159.775,82.4,74,20,9.22,few clouds
132,La Romana,DO,18.4273,-68.9728,69.8,94,20,4.61,few clouds
133,Kieta,PG,-6.2167,155.6333,85.03,69,70,4.29,light rain
134,Paraguacu Paulista,BR,-22.4128,-50.5758,61.57,71,1,7.78,clear sky
135,Kalmunai,LK,7.4167,81.8167,85.01,62,76,2.95,broken clouds
136,Denia,ES,38.8408,0.1057,59.0,73,2,6.4,clear sky
